chord_and_mode	medtner_tales	beethoven_piano_sonatas	ABC	mendelssohn_quartets	grieg_lyric_pieces	bach_en_fr_suites	liszt_pelerinage	scarlatti_sonatas	chopin_mazurkas	bartok_bagatelles	kleine_geistliche_konzerte	corelli	bach_solo	mozart_piano_sonatas	frescobaldi_fiori_musicali	wagner_overtures	kozeluh_sonatas	rachmaninoff_piano	peri_euridice	schubert_winterreise	jc_bach_sonatas	wf_bach_sonatas	debussy_suite_bergamasque	tchaikovsky_seasons	ravel_piano	couperin_concerts	monteverdi_madrigals	c_schumann_lieder	schulhoff_suite_dansante_en_jazz	mahler_kindertotenlieder	couperin_clavecin	dvorak_silhouettes	schumann_liederkreis	pleyel_quartets	pergolesi_stabat_mater	schumann_kinderszenen	sweelinck_keyboard	poulenc_mouvements_perpetuels	handel_keyboard	sum
viio64/V, major	False	True	True	True	False	True	False	True	False	False	True	True	True	True	True	True	True	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	15
ii%7, major	True	True	True	True	True	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	False	True	False	True	False	False	False	True	False	False	False	15
bVI6, major	True	True	True	True	True	True	True	False	True	True	False	False	False	True	False	True	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	15
I(6), major	True	True	True	False	True	False	True	True	True	False	False	True	False	True	False	False	False	False	True	True	True	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	15
i(94), minor	True	False	True	True	False	True	True	False	True	False	False	False	True	True	True	False	True	False	True	False	False	True	False	False	False	True	True	False	False	False	False	False	False	True	False	False	False	False	False	15
IV/III, minor	True	False	True	True	True	True	False	True	True	False	True	True	True	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	15
Ger6, minor	True	True	True	True	True	False	True	False	True	False	False	False	False	True	False	False	True	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	True	True	True	False	False	False	False	15
V7/IV, minor	False	True	True	True	True	True	True	False	True	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	True	False	True	False	False	False	True	False	False	False	False	False	False	15
viio6/VII, minor	True	False	True	False	True	True	False	True	False	False	True	False	True	False	True	False	False	False	True	False	False	False	False	False	False	True	True	False	False	True	False	False	True	False	True	False	True	False	False	15
I/III, minor	True	True	False	False	True	True	False	True	True	False	False	True	True	False	False	False	False	True	True	False	True	True	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	15
IV64, minor	True	True	True	True	False	True	True	True	True	False	True	False	True	False	True	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	15
It6, minor	True	True	True	True	True	False	True	True	True	False	False	False	False	True	False	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	15
iii7, major	True	True	True	True	True	True	False	True	False	True	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False	15
IV/IV, major	True	True	True	True	True	False	False	False	False	False	True	True	True	True	True	True	False	False	True	False	True	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	15
viio6/III, minor	True	True	True	True	False	True	False	True	False	False	True	True	True	True	True	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	15
IV/V, major	True	True	True	True	True	True	False	True	False	False	True	True	True	False	True	True	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	15
iv/ii, major	False	True	False	True	False	True	False	True	False	True	True	True	True	True	False	False	False	False	True	True	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	14
iv/iv, minor	True	True	False	True	True	True	False	True	False	False	True	True	True	False	False	False	False	True	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	14
I(2), major	True	True	True	True	True	True	True	False	True	False	False	True	True	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	14
V65/v, minor	True	True	True	True	False	True	False	True	True	False	True	True	True	False	False	False	False	False	False	False	True	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	14
bII64, minor	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False	False	False	True	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	14
V7(9)/V, major	True	False	False	True	True	True	True	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	True	False	False	True	False	True	False	14
iii6, minor	True	True	True	True	True	False	True	True	True	False	False	True	True	False	True	False	False	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	14
V(4)/V, major	False	True	True	False	False	True	False	True	True	False	True	True	False	True	True	False	True	False	True	False	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	14
V64/iv, minor	True	True	True	True	False	True	False	True	False	False	True	False	False	True	True	False	True	False	False	True	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	14
iv6/ii, major	True	True	True	True	False	True	False	True	True	False	True	False	True	False	True	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	14
vii, major	False	True	True	True	True	False	True	True	True	True	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	14
III(9), minor	False	False	False	True	True	True	False	True	False	False	True	True	False	True	True	False	False	False	False	False	True	True	False	False	False	True	True	False	False	False	False	False	False	False	True	True	False	False	False	14
V43/V, minor	True	True	True	True	False	True	True	True	True	False	False	False	True	False	False	False	True	True	False	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	14
#viio7/iii, major	False	True	True	True	True	False	True	False	True	False	False	False	True	True	False	True	True	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	14
V(64)/III, minor	True	False	True	True	True	True	False	False	True	False	True	False	False	True	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	14
VI, major	True	True	True	True	True	False	True	True	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	14
VI(4), minor	True	False	True	False	True	True	False	True	False	False	True	True	False	True	True	True	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	14
#viio6(2), minor	False	True	True	True	False	True	False	True	False	False	True	True	True	False	True	False	True	False	False	False	True	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	14
V7(94), major	True	True	True	True	True	False	True	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	True	False	True	True	False	True	False	False	True	False	False	False	False	False	False	14
V7/bII, minor	True	True	True	True	True	False	False	False	True	True	False	False	False	True	True	True	False	True	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	14
vii%2, major	True	True	True	True	True	True	True	False	False	False	True	True	False	True	False	True	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	14
i/vi, major	True	True	False	False	True	True	False	True	True	False	False	True	True	False	False	False	False	False	True	False	True	True	False	False	False	False	False	True	False	False	True	True	False	False	False	False	False	False	False	14
i(#7), minor	True	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	14
V6/v, minor	True	True	True	True	False	True	False	True	False	False	True	True	True	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	14
III(4), minor	True	True	True	True	False	True	True	False	True	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	13
V6(4), major	False	True	True	False	False	True	False	False	True	False	True	True	False	True	True	False	False	False	False	False	False	True	False	False	False	True	True	False	False	False	False	False	False	False	False	True	False	False	True	13
I(7), major	True	True	True	True	True	False	True	False	True	False	False	True	True	True	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	13
viio/VI, minor	True	True	True	True	True	True	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	False	False	13
V65(9), major	True	True	False	True	True	False	True	True	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	True	False	True	False	False	False	False	13
#viio2/iv, minor	True	True	True	True	True	True	True	False	False	False	False	False	True	False	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	13
V64/IV, major	True	True	True	True	False	True	False	False	False	False	True	False	False	True	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	13
V(964), major	True	True	True	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	True	False	False	False	False	False	13
V7/bVII, major	False	True	True	True	True	False	True	False	True	True	False	False	True	False	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	13
vii%43/V, major	False	True	True	True	True	True	True	False	True	False	False	False	True	True	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	13
IM65, major	True	False	False	True	True	True	True	False	False	True	True	True	False	False	False	False	False	True	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	False	False	False	False	False	13
i/iii, major	True	True	False	False	True	True	True	True	True	False	False	True	True	False	False	False	False	False	True	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	13
VIM2, minor	False	True	True	True	True	True	True	True	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False	False	False	13
i6(#7), minor	False	True	True	True	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	True	True	False	False	False	False	13
V2/VII, minor	True	True	False	True	True	True	False	True	False	False	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	13
i/ii, major	True	True	False	False	True	True	True	True	False	False	False	True	True	False	False	False	False	False	True	False	True	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	13
V6/IV, major	True	True	False	True	False	True	False	True	False	False	True	False	True	True	True	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	13
v(4), minor	False	False	True	False	False	True	False	True	True	False	True	True	True	True	True	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	13
V/VI, minor	True	True	True	True	False	True	False	False	False	False	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	True	False	True	False	False	False	False	False	13
vi/V, major	True	True	True	True	False	True	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	13
I6(9), major	True	True	True	True	False	False	True	False	False	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	13
IV6/III, minor	True	False	False	True	True	True	False	False	True	False	True	True	True	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	13
V+, major	True	True	True	True	True	False	True	False	False	False	False	False	False	True	False	True	True	False	False	True	False	False	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	13
IVM2, major	True	True	False	True	True	True	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	13
V(64)/iv, minor	False	True	True	True	False	True	False	True	True	False	True	True	True	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	13
ii6/III, minor	True	False	False	True	True	True	False	True	False	False	True	True	True	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	13
viio64/IV, major	True	True	True	True	False	True	False	True	False	True	True	False	True	True	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	13
V(94), major	True	True	True	True	True	True	False	False	True	False	False	False	False	True	False	False	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	13
III, major	False	True	True	True	False	False	True	False	True	True	False	False	True	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	13
viio43/V, major	False	True	True	True	False	False	True	False	True	False	False	False	False	True	False	True	True	False	False	False	False	True	False	True	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	13
i(2), minor	True	True	True	False	True	True	True	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	13
vi, minor	True	True	True	True	True	True	True	False	False	False	False	True	False	False	True	False	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	13
viio2/V, minor	True	True	True	True	True	True	True	False	True	False	False	False	True	True	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	13
V65/iii, major	False	True	True	True	False	False	True	False	True	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	13
V7/bIII, major	True	True	True	True	True	False	True	False	True	True	False	False	False	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	13
V6(2), major	False	True	True	False	False	True	False	True	False	False	True	True	True	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	13
#viio2/vi, major	True	True	True	True	True	False	False	False	True	False	False	False	False	True	False	True	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	12
V6(4), minor	True	True	True	False	False	True	False	True	True	False	True	True	False	False	True	False	False	False	False	False	False	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	12
#vio6, minor	False	True	True	False	False	True	False	True	False	False	True	True	True	False	True	False	False	True	False	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	12
iio6/vi, major	True	True	True	True	False	True	False	False	True	False	True	True	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	12
V43/III, minor	True	True	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	True	False	True	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	12
IIIM65, minor	True	False	False	True	True	True	False	True	False	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	12
III6(2), minor	True	False	False	False	False	True	False	True	True	False	True	True	True	False	True	False	True	False	False	False	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	12
V65/VI, minor	True	True	True	True	False	True	False	False	False	False	False	False	True	False	False	True	True	True	False	False	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	12
I+, major	False	True	True	False	True	False	True	False	True	True	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	12
V(#64), minor	True	True	False	True	False	False	True	False	True	False	True	True	False	False	True	False	False	False	True	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	12
iv/vi, major	True	True	False	True	True	True	False	True	True	False	True	True	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	12
VII64, minor	True	False	False	True	False	True	True	False	False	False	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	True	False	False	False	False	False	12
VI/vi, major	True	True	False	True	False	True	False	True	False	False	True	True	True	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	12
vi6(2), major	False	True	True	True	True	False	False	True	False	False	True	True	True	False	True	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	12
V/bIII, major	True	True	True	True	True	False	True	False	False	True	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	12
V6(6), major	True	True	True	True	True	True	True	False	False	False	False	True	False	True	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	12
iio6/ii, major	False	True	False	True	False	True	False	True	True	False	True	False	True	True	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	12
#viio64/iv, minor	True	True	True	True	False	True	False	True	True	False	False	False	True	True	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	12
V7(4)/V, major	False	True	True	True	True	False	True	False	True	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	12
ii/IV, major	False	True	False	True	True	True	False	False	False	False	True	True	True	True	True	False	False	False	True	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	12
V7(9)/ii, major	True	True	True	True	False	False	True	True	True	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	12
iv(94), minor	True	True	True	True	False	True	False	True	False	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	12
iio/ii, major	False	True	True	True	False	True	False	False	False	False	True	False	True	True	False	False	True	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	12
#vi%2, minor	True	True	True	True	True	True	False	False	False	False	True	True	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	12
III6, major	True	True	True	False	False	False	True	False	True	False	False	False	True	True	False	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	12
vii%65/V, major	False	True	False	True	True	False	False	False	True	False	False	False	False	False	True	True	True	False	False	False	True	False	False	True	False	False	False	True	False	False	False	True	True	False	False	False	False	False	False	12
#vi, minor	True	True	False	False	True	False	False	False	True	False	True	False	False	False	True	False	True	True	False	False	False	False	True	False	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	12
V7/v, major	True	True	True	True	False	True	False	True	True	False	True	False	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	12
Fr6, minor	True	True	True	True	True	False	True	False	True	False	False	False	False	True	False	False	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	12
iio6(2), minor	True	True	False	True	False	True	False	True	False	False	False	True	True	True	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	12
V(+4), major	False	False	True	True	False	True	True	True	False	False	True	True	False	True	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	12
i/v, minor	True	True	False	False	True	True	False	True	True	False	False	True	True	False	False	False	False	True	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	12
i/iv, minor	True	True	False	False	True	True	False	True	False	False	False	True	True	False	False	False	False	True	True	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	12
iio6/iv, minor	True	True	False	True	False	True	False	True	False	False	False	True	True	False	True	True	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	12
iii65, major	False	False	True	True	True	True	False	False	False	False	True	True	True	False	False	False	True	False	False	False	False	False	True	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	12
i64, major	False	True	True	True	True	True	True	False	False	False	False	False	True	True	False	False	False	False	False	True	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	12
iv64, major	True	True	True	True	True	False	True	False	True	False	False	False	False	True	False	True	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	12
V7/ii, minor	True	True	True	True	True	False	True	False	False	False	True	False	True	False	False	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	12
V6/VII, minor	True	True	False	True	False	True	False	False	False	False	True	True	True	False	True	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False	12
iio65, minor	False	True	True	False	False	True	False	True	False	False	True	True	False	False	False	False	True	False	False	True	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	11
iio/vi, major	False	True	True	True	False	False	False	True	True	False	False	True	True	True	False	False	True	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
v65, minor	False	False	True	True	False	True	True	True	False	False	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	11
i6/ii, major	True	True	False	False	True	True	False	True	False	False	False	False	True	False	False	False	False	False	True	False	True	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	11
ii64, minor	False	False	True	False	True	True	True	False	True	False	True	False	False	False	True	False	False	False	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	True	False	False	11
viio7/VII, minor	True	True	True	True	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
ii/V, major	False	True	False	False	False	True	False	True	False	True	True	True	True	False	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	11
V(4)/iv, minor	False	True	False	True	False	True	False	True	False	False	True	True	True	False	True	True	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
viio64/V, minor	True	True	True	True	False	True	False	True	False	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	11
V2(4), major	False	True	True	True	True	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	11
It6, major	False	True	True	False	False	False	False	True	False	False	False	False	False	True	False	False	True	False	False	True	True	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	11
IM43, major	False	False	False	True	True	True	True	False	False	True	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	True	True	False	False	True	True	False	False	False	False	False	False	11
I6/III, minor	True	False	True	False	True	True	False	True	False	False	True	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	11
V/vii, minor	False	True	True	True	False	False	False	True	False	False	True	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	11
V/ii, minor	True	True	True	False	True	True	False	True	False	False	True	False	False	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	11
IV(2), major	True	True	True	False	False	False	False	False	False	False	True	True	True	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
iv43, minor	True	False	True	True	True	True	True	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	11
V7(4)/vi, major	True	False	False	True	False	True	True	False	True	True	False	False	True	True	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	11
bIII6, major	True	True	True	True	False	False	True	False	True	False	False	False	True	True	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
iio64, major	True	True	True	True	True	False	True	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
V6(6), minor	True	True	True	False	True	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	11
viio/VII, minor	False	False	True	True	False	True	False	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	True	False	False	11
v7, major	True	True	True	False	True	False	False	False	True	True	False	False	True	True	False	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	11
ii65/III, minor	True	False	True	True	False	True	False	True	False	False	True	True	False	False	False	False	False	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	True	False	False	False	11
I(97), major	True	True	True	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	11
I(4), minor	False	True	True	False	True	True	False	True	True	False	True	False	False	False	True	False	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	11
V7/III, major	True	True	False	True	True	False	True	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	11
i(9#7), minor	True	True	True	True	True	True	True	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	11
V(13), major	False	True	False	True	True	False	True	False	True	False	True	False	True	True	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
iv7, major	True	False	True	True	True	False	True	True	True	False	False	True	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	11
VII(4), minor	True	True	True	True	False	True	False	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	11
V(94), minor	True	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	False	False	False	False	11
IV6(9), major	True	True	True	False	True	False	True	False	True	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	11
V/v, major	False	True	True	True	False	True	False	True	True	False	True	False	True	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
ii%7/vi, major	True	False	False	True	False	True	True	True	True	True	False	True	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	11
iii(4), major	False	True	True	False	True	True	False	True	False	False	False	True	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
IV6/IV, major	False	True	False	True	True	True	False	True	True	False	True	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
IV6/V, major	False	True	False	True	False	True	False	False	True	False	True	True	True	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	11
V43/VI, minor	True	True	True	True	True	True	True	False	True	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	11
