mode	n_gram	count
major	('3, (m3, d5, M6)', '4, (m3, P4, M6)')	3
major	('3, (m3, d5, M6)', '5, (m3, P5, m7)')	3
major	('b6, (m3, P4, M6)', '5, (m3, d5, M6)')	3
major	('1, (m3, a4, M6)', '5, (P4, M6)')	3
major	('5, (M3, P5, m7)', '#1, (m3, d5, m6)')	3
major	('b6, (a4, P5)', 'b6, (M3, P5)')	3
major	('5, (M3, P5, m7)', '#1, (M3, P5)')	3
major	('1, (m3, a4, M7)', '1, (m3, a4, M6)')	3
major	('1, (m3, a4, m6)', '5, (M3, P5, m7)')	3
major	('1, (m3, a4, m6)', '7, (m3, m6)')	3
major	('1, (m3, d5)', '2, (m3, P5)')	3
major	('5, (M3, P5, M6)', '6, (M3, P5)')	3
major	('5, (M3, P5, M6)', '5, (M3, P5, m7)')	3
major	('7, (m3, m6)', '7, (m3, m7)')	3
major	('7, (M3, P5)', '7, (m3, P5)')	3
major	('5, (M3, P5)', 'b7, (m3, a4, M6)')	3
major	('3, (m3, d5)', '3, (m3, d5, m6)')	3
major	('3, (m3, d5, M6)', '4, (P4, M6)')	3
major	('5, (M3, P5, m7)', '1, (M2, P4, m6)')	3
major	('1, (m3, d5, m6)', '1, (M3, P5)')	3
major	('5, (M3, P5, m7)', '3, (m3, P4, M6)')	3
major	('3, (m3, d5, M6)', '2, (m3, m6)')	3
major	('1, (m3, P5)', 'b6, (M3, a5)')	3
major	('3, (m3, d5, M6)', '3, (m3, P4, M6)')	3
major	('5, (M3, P5, m7)', '2, (m3, d5, m7)')	3
major	('5, (M3, P5, m7)', '2, (m3, P5, M6)')	3
major	('7, (m3, m6)', 'b7, (M3, a4, M6)')	3
major	('5, (M3, P5, m7)', '2, (M2, P4)')	3
major	('5, (M3, P5, m7)', '1, (m3, m6)')	3
major	('7, (m3, m6)', 'b7, (a2, a4, M6)')	3
major	('b7, (M2, P4, M6)', 'b6, (M3, P5)')	3
major	('5, (M3, P5, m7)', '1, (a2, a4)')	3
major	('5, (M3, P5, m7)', '1, (M3, m6)')	3
major	('3, (m3, d5, M6)', '4, (M3, a5)')	3
major	('5, (M3, P5, m7)', '1, (M3, M7)')	3
major	('1, (m3, P5, m6)', '7, (m3, m6)')	3
major	('1, (m3, d5, d7)', '2, (m3, P5)')	3
major	('3, (m3, d5, d7)', '1, (M3, P5, m7)')	3
major	('b6, (M3, a6)', 'b6, (M3, P5, a6)')	3
major	('3, (m3, d5)', '#1, (m3, d5)')	3
major	('7, (M3, P5, m7)', '7, (M3, P5)')	3
major	('2, (M2, P4)', '3, (m3, m6)')	3
major	('b6, (a2, a4)', '5, (M3, P5)')	3
major	('b6, (a2, a3, M6)', 'b6, (a2, a4, M6)')	3
major	('b6, (P4, m6)', 'b6, (M3, P5)')	3
major	('5, (M3, P5)', '5, (a4, M6)')	3
major	('3, (m3, d5, m6)', '2, (P4, m6)')	3
major	('b6, (P4, M6)', 'b6, (M3, P5)')	3
major	('3, (m3, P5, m7)', '6, (m3, m6)')	3
major	('2, (M2, P4, m6)', '#1, (m3, d5, d7)')	3
major	('5, (M3, P5)', '5, (M3, a5, m7)')	3
major	('5, (M3, P5)', '5, (M2, P4, m6)')	3
major	('b1, (M3, P5, m7)', 'b4, (M3, P5)')	3
major	('b6, (P4, M6)', '5, (M3, P5, m7)')	3
major	('5, (M3, P5)', '4, (a4, P5)')	3
major	('3, (m3, d5, m6)', '3, (m3, d5, m6)')	3
major	('5, (M3, P5)', '6, (P4, M6)')	3
major	('7, (m3, m6)', '7, (d4, m6)')	3
major	('7, (M3, P5, m7)', '#2, (m3, d5, m6)')	3
major	('5, (M3, P5)', 'b6, (M3, P5, a6)')	3
major	('7, (m3, m6)', '7, (m3, d5, d7)')	3
major	('b6, (a2, a4, M6)', '7, (m3, d5, d7)')	3
major	('3, (m3, d5)', '2, (m3, m6)')	3
major	('5, (M3, P5)', 'b3, (P4, M6)')	3
major	('5, (M3, P5)', 'b3, (M3, a5)')	3
major	('3, (m3, d5, d7)', '4, (m3, d5, d7)')	3
major	('3, (m3, d5, d7)', '5, (m2, d5)')	3
major	('7, (M3, P5, m7)', '2, (m3, P4, m7)')	3
major	('1, (m3, m6)', '4, (m3, P5)')	3
major	('7, (m3, m6)', '7, (m3, M6)')	3
major	('3, (m3, d5)', '1, (P4, M6)')	3
major	('b6, (a2, a4, M6)', '3, (m3, m6)')	3
major	('7, (M3, P5, m7)', '6, (M2, a4, M6)')	3
major	('1, (m3, m6)', 'b7, (P4, M6)')	3
major	('1, (m3, m6)', 'b7, (m3, M6)')	3
major	('7, (M3, P5, m7)', '6, (a4, M6)')	3
major	('7, (M3, P5, m7)', '6, (m3, P5)')	3
major	('5, (M3, M6)', '5, (M3, M6, m7)')	3
major	('5, (M3, M6, m7)', '5, (M3, m6, m7)')	3
major	('5, (M2, P4)', '5, (P4, M6)')	3
major	('b6, (M3, P5)', '5, (P4, M6)')	3
major	('2, (P4, P5)', '5, (m3, P5)')	3
major	('7, (d3, d5, m6)', '1, (M3, P5, m7)')	3
major	('2, (P4, P5)', '7, (m3, d5)')	3
major	('5, (M2, M6)', '4, (M3, M6)')	3
major	('3, (m3, P5)', '#4, (m3, m6)')	3
major	('7, (d4, m6)', 'b7, (P4, M6)')	3
major	('2, (P4, m6)', '#1, (m3, d5, d7)')	3
major	('#2, (m3, d5, d7)', '7, (M3, P5, m7)')	3
major	('4, (m3, m6)', '4, (m3, m6)')	3
major	('3, (m3, P5)', '#2, (m3, d5, d7)')	3
major	('2, (P4, m6)', '5, (m3, P5, M6)')	3
major	('b6, (M3, P5)', '2, (M3, P5)')	3
major	('5, (M2, P4)', '6, (m3, m6)')	3
major	('b6, (M3, P5)', '6, (m3, d5, M6)')	3
major	('5, (M2, P5)', '1, (M3, P5, M7)')	3
major	('5, (M2, P5)', '1, (M3, P5)')	3
major	('7, (P4, m6)', '7, (m3, d5)')	3
major	('5, (M2, P4, m6)', '5, (M3, P5)')	3
major	('3, (m3, P5)', '2, (m3, P5, m7)')	3
major	('b6, (M3, P5)', 'b5, (M3, P5)')	3
major	('3, (m3, m6)', '3, (M2, m6)')	3
major	('5, (M2, P4, m6)', '#4, (m3, d5, d7)')	3
major	('5, (M2, P4, M6)', '6, (m3, P5, m7)')	3
major	('7, (P4, m6, m7)', '7, (M3, P5, m7)')	3
major	('b6, (M3, P5)', 'b3, (M3, P5)')	3
major	('5, (M2, P4, M6)', '5, (a2, a4)')	3
major	('2, (P4, P5)', '1, (M2, a4, M6)')	3
major	('3, (m3, P5)', '1, (M3, M7)')	3
major	('3, (m3, m6)', '3, (m3, P5, m7)')	3
major	('7, (m3, m6)', '3, (M3, P5)')	3
major	('2, (P4, m7)', '2, (P4, M6)')	3
major	('7, (m2, P4, m6)', '6, (m3, P4, M6)')	3
major	('4, (m3, d5, m7)', 'b7, (M3, P5)')	3
major	('7, (m3, M6)', '4, (M3, P5)')	3
major	('2, (m3, M6)', '1, (m3, a4, M6)')	3
major	('4, (m3, a4, M6)', '#4, (m3, d5, m6)')	3
major	('4, (m3, P5, m7)', 'b7, (M3, P5, m7)')	3
major	('2, (m3, M6)', '3, (m3, P5, m7)')	3
major	('#2, (m3, d5, d7)', '#2, (m3, m6)')	3
major	('2, (m3, M6)', '5, (M3, P5, M6)')	3
major	('b6, (M3, M6)', '5, (m3, P4, m7)')	3
major	('2, (m3, M6)', '5, (P4, m6)')	3
major	('4, (m3, P5, M6)', '5, (M3, M6, m7)')	3
major	('2, (m2, P4, m6)', '1, (m3, P5)')	3
major	('2, (a2, P5, M7)', '2, (M3, P5, m7)')	3
major	('#2, (m3, d5, d7)', '3, (m3, d5, d7)')	3
major	('4, (m3, d5, d7)', '#4, (m3, d5, d7)')	3
major	('b2, (M3, P5)', 'b7, (M3, P5)')	3
major	('2, (m3, M6)', '1, (M2, P4, M6)')	3
major	('3, (m3, P4, m7)', '3, (m3, P4, m6)')	3
major	('4, (m3, a4, M6)', '7, (m3, m6)')	3
major	('3, (m3, m6)', '4, (a2, M6)')	3
major	('7, (m3, M6)', '#1, (m3, d5)')	3
major	('b6, (M3, M6)', 'b6, (M3, a4, M6)')	3
major	('2, (m3, M6)', '#5, (m3, d5, d7)')	3
major	('b6, (M3, P5)', 'b6, (M3, P5, M7)')	3
major	('3, (m3, P5)', '3, (m3, P4, m6)')	3
major	('b6, (M3, P5, a6)', '6, (m3, d5, M6)')	3
major	('b6, (M3, P5, a6)', '#4, (m3, d5, m6)')	3
major	('5, (M2, a4, M6)', '3, (m3, d5, m6)')	3
major	('3, (m3, m6)', '2, (M3, m7)')	3
major	('3, (m3, P5)', '5, (m3, P4, M6)')	3
major	('3, (m3, P5)', '5, (m3, a4, M6)')	3
major	('5, (M3, M6)', '#5, (m3, d5, m6)')	3
major	('3, (m3, m6)', '1, (a4, M6)')	3
major	('#2, (m3, m6)', '3, (m3, m6)')	3
major	('7, (m3, m6)', '4, (M3, M6)')	3
major	('b6, (M3, P5)', 'b7, (M3, P5)')	3
major	('3, (m3, m6)', '2, (P4, m7)')	3
major	('2, (P4, M6)', '6, (m3, M6)')	3
major	('2, (P4, M6)', '#1, (m3, d5, m6)')	3
major	('b2, (M3, P5)', '1, (M3, m6)')	3
major	('3, (m3, m6)', '1, (m3, a4, m6)')	3
major	('3, (m3, m6)', '1, (m3, a4, M6)')	3
major	('7, (P4, m6)', '6, (m3, m6)')	3
major	('3, (m3, P5)', '3, (P4, m6)')	3
major	('3, (m3, m6)', '2, (M2, a4, M6)')	3
major	('5, (M3, M6)', '#4, (m3, d5)')	3
major	('5, (M3, M6)', '4, (a4, M6)')	3
major	('7, (m3, m6)', '4, (M3, P5, M6)')	3
major	('2, (P4, M6)', '3, (P4, m6)')	3
major	('3, (m3, P5)', '3, (M3, P5, m7)')	3
major	('3, (m3, P5)', '4, (a4, P5)')	3
major	('5, (M2, a4, M6)', '#4, (m3, d5, d7)')	3
major	('5, (M3, M6)', '1, (M3, P5, M7)')	3
major	('3, (m3, P5)', '6, (M3, P5)')	3
major	('b2, (M3, P5, m7)', '5, (P4, P5, m7)')	2
major	('b3, (M3, M6)', '4, (M3, M6)')	2
major	('b3, (M2, a4, M6)', '1, (m3, P5, M7)')	2
major	('b3, (M3, M6)', '6, (m3, m6)')	2
major	('b3, (M2, a4, M6)', '2, (m3, d5, m7)')	2
major	('b2, (M3, P5, m7)', 'b5, (M3, P5, m7)')	2
major	('7, (m3, m6)', 'b7, (m3, a4, a5)')	2
major	('b3, (M3, M6)', '4, (a4, M6)')	2
major	('b2, (M3, P5)', 'b7, (m3, P5, m7)')	2
major	('b2, (M3, P5, a6)', '#4, (M3, P5, m7)')	2
major	('b3, (M3, M6)', '4, (M3, M6, m7)')	2
major	('b2, (M3, M7)', 'b2, (M3, M6)')	2
major	('7, (m3, m7)', '3, (m3, P5)')	2
major	('b2, (M3, P5, a6)', 'b2, (M3, P5, a6)')	2
major	('b3, (M2, a3, M6)', '2, (m3, a4, M6)')	2
major	('b3, (M3, M6)', '4, (m3, P5, M6)')	2
major	('b2, (M3, M6)', 'b3, (P4, M6)')	2
major	('b2, (m3, P5)', 'b1, (M2, P4, M6)')	2
major	('b2, (a2, a4, M6)', 'b7, (m3, a4, M6)')	2
major	('b3, (M3, M6)', '2, (m3, P4, m6)')	2
major	('b2, (M3, P5)', '7, (m3, d5)')	2
major	('b2, (P4, P5, m7)', 'bb3, (a2, a4, M6)')	2
major	('b1, (M3, P5, m7)', 'b7, (M3, P5, m7)')	2
major	('b2, (M3, P5)', 'b2, (M3, P5, a6)')	2
major	('b3, (M2, P4, M6)', 'b7, (P4, P5, m7)')	2
major	('b2, (P4, M6)', 'b2, (P4, P5, m7)')	2
major	('b1, (a2, a5, M6)', 'b3, (M3, P5)')	2
major	('b3, (M3, M6)', '2, (P4, M6)')	2
major	('b2, (M3, P5)', '1, (d3, d5, d7)')	2
major	('b3, (M2, P4)', '2, (m3, d5)')	2
major	('b3, (M2, P4, M6)', '1, (M2, P4)')	2
major	('b1, (a2, a4, M6)', 'b7, (m3, d5, M6)')	2
major	('b2, (M3, P5)', '2, (M3, P5)')	2
major	('b1, (P4, M6)', 'b1, (M3, P5, m7)')	2
major	('b1, (M3, a4, M6)', 'b1, (a2, a4, M6)')	2
major	('b2, (M3, P5)', 'b5, (M3, M6)')	2
major	('b2, (M3, P5)', 'b6, (m3, P5)')	2
major	('b2, (M3, M6)', 'b3, (M3, P5, m7)')	2
major	('b2, (M3, a4, M6)', '4, (M2, P4, m6)')	2
major	('b2, (M3, P5, m7)', 'b6, (m3, P5)')	2
major	('b3, (M2, a4, M6)', 'b2, (M3, M6)')	2
major	('b2, (M3, M6)', '1, (P4, m6)')	2
major	('b1, (M3, P5, m7)', 'b2, (M3, P5, m7)')	2
major	('b3, (M3, M6)', '2, (m3, d5)')	2
major	('b1, (M2, P4, M6)', '#5, (m3, d5, m6)')	2
major	('b3, (M2, P4, a5)', '2, (m3, d5, M6)')	2
major	('b7, (M2, a4, M6)', '2, (M3, d5, m7)')	2
major	('b6, (M3, P5)', 'b6, (M3, aa4)')	2
major	('b6, (M3, P5, M7)', '2, (m3, d5, m7)')	2
major	('b6, (M3, P5, M7)', '2, (M3, P5, m7)')	2
major	('b6, (M3, P5, M7)', '1, (M3, P5, m7)')	2
major	('b6, (M3, P5, M6)', 'b6, (M3, a4, M6)')	2
major	('b6, (M3, P5)', 'b7, (P4, M6)')	2
major	('b6, (M3, P5)', 'b7, (M2, a4, M6)')	2
major	('b6, (M3, P5)', 'b6, (M3, a5)')	2
major	('b6, (M3, P5)', 'b6, (M3, a4, M6)')	2
major	('b7, (M3, P5)', '1, (m3, M6)')	2
major	('b7, (M3, P5)', '2, (m3, d5, m7)')	2
major	('b7, (M3, M6, m7)', 'b6, (M2, a4, M7)')	2
major	('b7, (M3, M6)', 'b7, (m3, a4, M6)')	2
major	('b6, (M3, P5, m7)', 'b5, (M3, P5, m7)')	2
major	('b6, (M3, P5, m7)', 'b2, (M3, P5, m7)')	2
major	('b6, (M3, P5, m7)', '6, (M3, P5, m7)')	2
major	('b6, (M3, P5, m7)', '5, (M3, P5, m7)')	2
major	('b6, (M3, P5, m7)', '5, (M3, P5)')	2
major	('b6, (M3, P5, m7)', '4, (m3, M6)')	2
major	('b6, (M3, P5, a6)', 'b6, (M3, a6)')	2
major	('b6, (M3, P5, a6)', 'b6, (M3, P5, a6)')	2
major	('b6, (M3, P5, a6)', '7, (m3, m6)')	2
major	('b7, (M3, M6)', 'b7, (M3, a4, M6)')	2
major	('b6, (M3, P5, a6)', '3, (m3, m6)')	2
major	('b6, (M3, P5, a6)', '2, (M3, P5, m7)')	2
major	('b6, (M3, P5)', 'b4, (a2, a4, M6)')	2
major	('b3, (M3, M6)', '7, (m3, d5)')	2
major	('b7, (M3, P5)', 'b2, (M3, P5)')	2
major	('b6, (M3, M6)', 'b6, (M3, P5, a6)')	2
major	('b6, (M3, M6)', 'b6, (M3, P5, M6)')	2
major	('b6, (M3, M6)', 'b6, (M3, P4, M6)')	2
major	('b6, (M3, M6)', 'b5, (m3, M6)')	2
major	('b6, (M3, M6)', 'b3, (M3, M6)')	2
major	('b6, (M3, M6)', 'b2, (M3, P5)')	2
major	('b6, (M3, M6)', 'b2, (M3, M6)')	2
major	('b6, (M3, M6)', '7, (m3, d5, m6)')	2
major	('b6, (M3, M6)', '7, (m3, d5)')	2
major	('b6, (M3, M6)', '6, (m3, d5, M6)')	2
major	('b6, (M3, M6)', '5, (m3, P4, M6)')	2
major	('b7, (M3, P5)', '4, (M3, M6)')	2
major	('b6, (M3, M6)', '5, (P4, m7)')	2
major	('b6, (M3, M6)', '4, (m3, m6)')	2
major	('b7, (M3, P5)', 'b7, (M3, P5, M6)')	2
major	('b6, (M3, M6)', 'b6, (a2, a4, M6)')	2
major	('b6, (M3, M6)', 'b6, (a4, M6)')	2
major	('b6, (M3, M6)', 'b7, (M3, P5, m7)')	2
major	('b7, (M3, P5)', '4, (M3, M6, m7)')	2
major	('b6, (M3, P5)', 'b3, (M3, M6, m7)')	2
major	('b7, (M3, P5)', '4, (M3, P5, m7)')	2
major	('b6, (M3, P5)', 'b2, (M3, M7)')	2
major	('b6, (M3, P5)', '5, (m3, d5, m6)')	2
major	('b6, (M3, P5)', '3, (m3, d5, d7)')	2
major	('b6, (M3, P5)', '1, (m3, P5)')	2
major	('b6, (M3, P5)', '1, (M3, P5)')	2
major	('b6, (M3, P5)', '#4, (m3, m6)')	2
major	('b7, (M3, P5)', '5, (m3, P5, M6)')	2
major	('b6, (M3, P5)', '#4, (m3, d5, m6)')	2
major	('b6, (M3, M7)', 'b6, (M3, a6)')	2
major	('b6, (M3, M6)', 'b7, (m3, P5, M6)')	2
major	('b6, (M3, P5, m7)', 'b6, (M3, P5)')	2
major	('b7, (M3, M6)', '6, (m3, P4, m6)')	2
major	('b6, (a2, a5, M6)', 'b6, (a2, a3, M6)')	2
major	('b6, (a2, a5, M6)', '5, (M3, M6, m7)')	2
major	('b6, (a2, a4, M6)', 'b6, (M3, a5)')	2
major	('b6, (a2, a4, M6)', '6, (m3, P4, m6)')	2
major	('b6, (a2, a4, M6)', '6, (P4, d5, M6)')	2
major	('b6, (a2, a4, M6)', '5, (P4, m6)')	2
major	('b6, (a2, a4, M6)', '5, (M3, a4, m7)')	2
major	('b6, (M3, P5, m7)', 'b7, (m3, m6)')	2
major	('b6, (a2, a4, M6)', '3, (M3, P5)')	2
major	('b7, (M2, a4, M6)', '7, (m3, m6)')	2
major	('b6, (a2, a4, M6)', '2, (m3, M6)')	2
major	('b6, (a2, a4, M6)', '#5, (m3, d5, m6)')	2
major	('b6, (P4, P5)', 'bb7, (M3, a4, M6)')	2
major	('b6, (P4, P5)', 'b6, (M3, P5)')	2
major	('b6, (P4, M6)', 'b2, (M3, P5, m7)')	2
major	('b6, (a4, M6)', '1, (M3, P5)')	2
major	('b6, (a4, M6)', '2, (m3, P4, M6)')	2
major	('b7, (M2, a4, M6)', '6, (m3, d5, m6)')	2
major	('b7, (M2, a4, M6)', '3, (m3, d5)')	2
major	('b7, (M2, P5, M7)', 'b7, (M2, a4, M6)')	2
major	('b7, (M2, P5)', '6, (m3, m6)')	2
major	('b7, (M2, a4, M6)', '4, (M2, a4, a6)')	2
major	('b7, (M2, a4, M6)', '5, (P4, M6)')	2
major	('b7, (M2, P4, M6)', '6, (m3, d5, m6)')	2
major	('b6, (m3, m6)', '6, (m3, m6)')	2
major	('b7, (M2, a4, M6)', '6, (P4, m6)')	2
major	('b6, (m3, a4, M6)', '5, (m3, m6)')	2
major	('b6, (m3, P5, M6)', '5, (m3, P5)')	2
major	('b7, (M2, a4, M6)', '6, (m3, P4, M6)')	2
major	('b6, (m3, P5)', 'b7, (M3, P5, m7)')	2
major	('b6, (m3, P5)', 'b2, (M3, P5, m7)')	2
major	('b6, (m3, P5)', 'b2, (M3, P5)')	2
major	('b7, (M2, a4, M6)', '6, (m3, P5, M6)')	2
major	('b6, (m3, P4, M6)', '2, (m3, P4, M6)')	2
major	('b7, (M2, a4, M6)', '6, (m3, d5, M6)')	2
major	('b6, (a4, M6)', '5, (P4, P5, m7)')	2
major	('b6, (P4, M6)', '5, (M3, P5)')	2
major	('b7, (M3, M6)', '4, (M3, M6)')	2
major	('b7, (M3, M6)', '5, (M3, P5, m7)')	2
major	('b6, (M3, a4, M6)', 'b7, (P4, P5, m7)')	2
major	('b6, (M3, a4, M6)', 'b6, (a2, a4, M6)')	2
major	('b6, (M3, a4, M6)', 'b6, (M3, a5)')	2
major	('b6, (M3, a4, M6)', 'b6, (M3, M6)')	2
major	('b6, (M3, a4, M6)', '5, (m3, P4, m7)')	2
major	('b6, (M3, a4, M6)', '5, (P4, m6)')	2
major	('b6, (M3, a4, M6)', '4, (m3, P5, m7)')	2
major	('b7, (M3, M6)', '6, (m3, P4)')	2
major	('b6, (M3, a4, M6)', '3, (m3, m6)')	2
major	('b6, (M3, a4)', 'b6, (a2, a4)')	2
major	('b6, (M3, a4, a6)', '5, (P4, M6)')	2
major	('b6, (P4, M6)', '1, (P4, m6)')	2
major	('b6, (M3, aa4)', 'b6, (M3, P5)')	2
major	('b6, (M3, a6)', '5, (M3, P5, m7)')	2
major	('b7, (M3, M6)', '#4, (m3, d5, m6)')	2
major	('b6, (M3, a5, M6)', 'b6, (M3, a4, M6)')	2
major	('b6, (M3, a5, M6)', '4, (m3, P5)')	2
major	('b6, (M3, a5)', 'b6, (M3, a4, M6)')	2
major	('b6, (M3, a5)', 'b6, (M3, P5, M6)')	2
major	('b6, (M3, a5)', '1, (M3, m6)')	2
major	('b7, (M3, M6)', '2, (P4, P5)')	2
major	('b6, (M3, a4, m7)', 'b6, (M3, a4, M6)')	2
major	('b7, (M3, M6)', '2, (P4, m6)')	2
major	('b6, (M3, M6)', '4, (a4, M6)')	2
major	('b6, (M3, M6)', '3, (m3, d5, m6)')	2
major	('b3, (M3, P5, M6)', '4, (M3, P5, m7)')	2
major	('b3, (M3, P5)', 'b7, (a4, P5)')	2
major	('b3, (M3, P5)', 'b7, (P4, M6)')	2
major	('b3, (M3, P5)', 'b7, (M3, M6)')	2
major	('b7, (a4, M6)', '4, (M3, M6)')	2
major	('b7, (a4, M6)', '5, (m3, P4, M6)')	2
major	('b3, (M3, P5)', 'b6, (m3, P5)')	2
major	('b7, (a4, M6)', '6, (M3, P5)')	2
major	('b3, (M3, d5, m7)', 'b3, (M3, d5, m7)')	2
major	('b3, (M3, P5)', 'b3, (m3, P5, M6)')	2
major	('b3, (M3, P5)', 'b3, (a2, M6)')	2
major	('b3, (M3, P5)', 'b3, (M3, P5, m7)')	2
major	('b7, (a4, M6)', '6, (P4, m6)')	2
major	('b3, (M3, P5)', 'b3, (M3, P5, a6)')	2
major	('b3, (M3, P5)', 'b3, (M2, P4)')	2
major	('b7, (a4, M6)', '7, (m3, d5)')	2
major	('b7, (a4, P5)', 'b7, (M3, P5)')	2
major	('b3, (M3, P5)', 'b1, (a2, a5, M6)')	2
major	('b7, (a4, M6)', '1, (P4, M6)')	2
major	('b3, (M3, P5, M7)', 'b6, (M3, P5, M7)')	2
major	('b7, (a2, a4, M7)', 'b7, (a2, a4, M6)')	2
major	('b3, (M3, P5, a6)', '6, (M3, P5, m7)')	2
major	('b3, (M3, d5, M6, m7)', 'b3, (M3, d5, m7)')	2
major	('b3, (M3, a6)', '2, (M3, P5)')	2
major	('b3, (M3, a5)', '2, (m3, P4, m6)')	2
major	('b3, (M3, a4, a6)', 'b3, (M3, d5, M6, m7)')	2
major	('b3, (M3, a4, M6)', '2, (P4, m6)')	2
major	('b3, (M3, a4)', '2, (P4, P5)')	2
major	('b7, (a2, a4, M6)', '5, (M3, P5, m7)')	2
major	('b3, (M3, P5, m7)', 'b5, (M3, P5, m7)')	2
major	('b7, (a2, a4, M6)', '6, (M3, m6)')	2
major	('b3, (M3, P5, m7)', '4, (m3, P5)')	2
major	('b3, (M3, P5, m7)', '4, (M3, P5, M7)')	2
major	('b3, (M3, P5, m7)', '3, (m3, d5, d7)')	2
major	('b7, (a2, a4, M6)', '6, (m3, M6)')	2
major	('b7, (m3, P4, M6)', '1, (m3, m6)')	2
major	('b3, (M3, M7)', 'b3, (M3, M6)')	2
major	('b7, (m3, a4, a5)', 'b7, (m3, a4, M6)')	2
major	('b7, (m3, d5, M6)', 'b2, (m3, a4, M6)')	2
major	('b7, (m3, d5, m7)', '6, (M3, P5, m7)')	2
major	('b7, (m3, d5, m7)', 'b2, (m3, M6)')	2
major	('b3, (M3, M6, m7)', '3, (M3, P5, m7)')	2
major	('b3, (M3, M6)', 'b6, (M3, a4, M6)')	2
major	('b7, (m3, m6)', '1, (M3, P5, m7)')	2
major	('b7, (m3, m6)', 'bb3, (M3, M6)')	2
major	('bb3, (M3, M6)', 'b3, (m3, M6)')	2
major	('bb3, (a2, a4, M6)', '4, (m3, d5, d7)')	2
major	('bb7, (M3, a4, M6)', '6, (m3, P4, M6)')	2
major	('b3, (M3, M6)', 'b3, (M3, P5)')	2
major	('b3, (M3, M6)', '7, (m3, d5, d7)')	2
major	('b3, (M3, M6, m7)', 'b6, (M3, P5)')	2
major	('b3, (M3, P4, M6)', '5, (m3, P4, m6)')	2
major	('b7, (m3, P4, M6)', '5, (m3, m6)')	2
major	('b3, (M3, P5)', '5, (m3, P5)')	2
major	('b3, (M3, P5)', '5, (M3, P5)')	2
major	('b3, (M3, P5)', '4, (m3, m6)')	2
major	('b7, (m3, P5)', '1, (m3, d5, m7)')	2
major	('b7, (m3, P5)', '6, (m3, m6)')	2
major	('b7, (m3, P5)', 'b7, (m3, M6)')	2
major	('b7, (m3, P5)', 'b7, (m3, P5)')	2
major	('b7, (m3, P5, M6)', '6, (m3, P5)')	2
major	('b7, (m3, P5, m7)', 'b2, (M3, P5)')	2
major	('b7, (m3, P5, m7)', 'b7, (m3, d5, m7)')	2
major	('b7, (m3, a4, M6)', '4, (M3, P5)')	2
major	('b7, (m3, a4, M6)', '6, (m3, P5, m7)')	2
major	('b3, (M3, P5)', '2, (P4, m6)')	2
major	('b7, (m3, a4, M6)', '7, (m3, d5, d7)')	2
major	('b7, (a2, a4, M6)', '3, (m3, d5, M6)')	2
major	('b3, (M3, d5, m7)', 'b6, (M3, M7)')	2
major	('b6, (M3, M6)', '2, (m3, P5, m7)')	2
major	('b7, (M3, P5, m7)', 'b3, (a4, P5)')	2
major	('b5, (M3, a4, M6)', 'b5, (m3, P5, M6)')	2
major	('b5, (M3, a4, M6)', 'b5, (a2, a4, M6)')	2
major	('b5, (M3, P5, m7)', 'b7, (M3, P5, m7)')	2
major	('b7, (M3, P5, m7)', 'b3, (M3, P5, M7)')	2
major	('b5, (M3, P5, m7)', 'b1, (M3, P5, m7)')	2
major	('b5, (M3, P5, a6)', 'b7, (M2, a4, M6)')	2
major	('b7, (M3, P5, m7)', 'b3, (M3, d5, m7)')	2
major	('b7, (M3, P5, m7)', 'b3, (P4, P5)')	2
major	('b5, (M3, P5)', 'bb3, (M3, a4, M6)')	2
major	('b5, (M3, P5)', '4, (M2, P4, m6)')	2
major	('b5, (M3, P5)', '3, (M3, P5)')	2
major	('b5, (M3, P5)', '1, (M3, P5, M7)')	2
major	('b5, (M2, a4, M6)', '4, (m3, m6)')	2
major	('b4, (a2, a4, M6)', 'b6, (M3, P5)')	2
major	('b4, (M3, a4, M6)', 'b3, (M3, a4, a6)')	2
major	('b7, (M3, P5, m7)', 'b6, (M3, a4, M6)')	2
major	('b7, (M3, P5, m7)', 'b6, (P4, M6)')	2
major	('b4, (M3, P5)', '5, (M3, P5, m7)')	2
major	('b7, (M3, P5, m7)', 'b7, (M3, M6)')	2
major	('b4, (M3, P5)', '4, (m3, d5, M6)')	2
major	('b4, (M3, M6)', 'b3, (M3, M6)')	2
major	('b5, (M3, a4, a6)', '6, (M3, d5, m7)')	2
major	('b7, (M3, P5, m7)', 'b2, (M2, a4, M6)')	2
major	('b5, (M3, a5)', 'b2, (M3, a5)')	2
major	('b7, (M3, P5, m7)', '5, (M3, d5, m7)')	2
major	('b7, (M3, P5)', 'b7, (M3, P5, M7)')	2
major	('b6, (M3, M6)', '2, (m3, P4, M6)')	2
major	('b6, (M3, M6)', '1, (M3, m6)')	2
major	('b7, (M3, P5)', 'b7, (M3, P5, m7)')	2
major	('b6, (M3, M6)', '#4, (m3, d5, m6)')	2
major	('b6, (M2, a4, M7)', 'b2, (M3, a4, M6)')	2
major	('b7, (M3, P5, M6)', '#4, (m3, P5, m7)')	2
major	('b6, (M2, a4, M6)', '1, (M3, P5)')	2
major	('b5, (m3, a4, M6)', '5, (M3, P5, M6)')	2
major	('b7, (M3, P5, M6)', '1, (P4, P5)')	2
